namn,init,kon,yrke,tid,ort,rader,antal,kon2,arh
Edith Södergran,ES,kvinna,poet,1900-tal,Sankt Petersburg,100936,1,2,19
Zacharias Topelius,ZT,man,barnboksförfattare,1800-tal,Kuddnäs,61953,1,1,18
Jörn Donner,JD,man,filmkritiker,1900-tal,Helsingfors,35122,1,1,19
Carl Rudenschöld,CR,man,diplomat,1700-tal,Åbo,34084,1,1,17
Tove Jansson,TJ,kvinna,barnboksförfattare,1900-tal,Helsingfors,33261,1,2,19
Jean Sibelius,JS,man,musikvetare,1800-tal,Tavastehus,31360,1,1,18
Joel Pettersson,JP,man,målare,1900-tal,Lemland,28571,1,1,19
Gustaf Henrik Mellin,GHM,man,poet,1800-tal,Revolax,26215,1,1,18
Gustaf Mauritz Armfelt,GMA,man,diplomat,1700-tal,Marttila,24812,1,1,17
Mauritz Stiller,MS,man,regissör,1900-tal,Helsingfors,24748,1,1,19
Gustaf Mannerheim,GM,man,upptäcktsresande,1800-tal,Borgå,24037,1,1,18
Adolf Erik Nordenskiöld,AEN,man,polarforskare,1800-tal,Helsingfors,21779,1,1,18
Lill Lindfors,LL,kvinna,sångare,1900-tal,Helsingfors,21740,1,2,19
Göran Magnus Sprengtporten,GMS,man,politiker,1700-tal,Borgå,20352,1,1,17
Johan Ludvig Runeberg,JLR,man,psalmförfattare,1800-tal,Jakobstad,18389,1,1,18
Pehr Kalm,PK,man,upptäcktsresande,1700-tal,Själevads församling,17481,1,1,17
Arvid Horn,AH,man,diplomat,1600-tal,Halikko,17106,1,1,16
Stina Ekblad,SE,kvinna,skådespelare,1900-tal,Solf,16895,1,2,19
Edith Erastoff,EE,kvinna,skådespelare,1900-tal,Helsingfors,16172,1,2,19
Frans Michael Franzén,FMF,man,psalmförfattare,1800-tal,Uleåborg,15959,1,1,18
Alma Söderhjelm,AS,kvinna,författare,1900-tal,Viborg,15810,1,2,19
Knut Lindberg,KL,man,brottare,1900-tal,Ingå,15537,1,1,19
Gustaf Adolf Reuterholm,GAR,man,politiker,1700-tal,Sjundeå,15443,1,1,17
Kotti Chave,KC,man,skådespelare,1900-tal,Helsingfors,15306,1,1,19
Märta Tikkanen,MT,kvinna,filosof,1900-tal,Helsingfors,15046,1,2,19
Elin Danielson-Gambogi,ED,kvinna,målare,1800-tal,Norrmark,14839,1,2,18
Henry Parland,HP,man,författare,1900-tal,Viborg,14538,1,1,19
Gustaf Estlander,GE,man,skridskoåkare,1900-tal,Helsingfors,14355,1,1,19
Hagar Olsson,HO,kvinna,litteraturkritiker,1900-tal,Gustavs,13569,1,2,19
Fredrik Cygnæus,FC,man,litteraturkritiker,1800-tal,Tavastehus,13498,1,1,18
Hilma Granqvist,HG,kvinna,antropolog,1900-tal,Sibbo,13456,1,2,19
Nasty Suicide,NS,man,gitarrist,1900-tal,Sibbo,13256,1,1,19
Bernhard Crusell,BC,man,självbiograf,1800-tal,Nystad,13126,1,1,18
Birgit Sergelius,BS,kvinna,skådespelare,1900-tal,Helsingfors,13098,1,2,19
Juha Widing,JW,man,ishockeyspelare,1900-tal,Uleåborg,13032,1,1,19
Sune Mangs,SM,man,TV-skådespelare,1900-tal,Kaskö,12921,1,1,19
Ernst Linder,EL,man,dressyrryttare,1800-tal,Pojo,12908,1,1,18
Kjell Westö,KW,man,journalist,1900-tal,Helsingfors,12896,1,1,19
Lars Huldén,LH,man,lingvist,1900-tal,Jakobstad,12870,1,1,19
Tomas Sandström,TS,man,ishockeyspelare,1900-tal,Jakobstad,12740,1,1,19
Göran Hägglund,GH,man,politiker,1900-tal,Degerfors,12672,1,1,19
Leo Komarov,LK,man,ishockeyspelare,2000-tal,Narva,12580,1,1,20
Karl August Tavaststjerna,KAT,man,poet,1800-tal,S:t Michel,12445,1,1,18
Tua Forsström,TF,kvinna,poet,1900-tal,Borgå,12442,1,2,19
Rafael Hertzberg,RH,man,sångtextförfattare,1800-tal,Åbo,12281,1,1,18
Werner Söderhjelm,WS,man,romanist,1800-tal,Viborg,12259,1,1,18
Jarl Hemmer,JH,man,översättare,1900-tal,Vasa,11994,1,1,19
Anders Chydenius,AC,man,filosof,1700-tal,Sotkamo,11977,1,1,17
Daniel Sjölund,DS,man,fotbollsspelare,2000-tal,Finström,11839,1,1,20
Abraham Niclas Edelcrantz,ANE,man,översättare,1700-tal,Åbo,11580,1,1,17
Elmer Diktonius,ED,man,författare,1900-tal,Helsingfors,11556,1,1,19
Willy Kyrklund,WK,man,dramatiker,1900-tal,Helsingfors,11553,1,1,19
Fredrika Runeberg,FR,kvinna,journalist,1800-tal,Jakobstad,11394,1,2,18
Emil Zilliacus,EZ,man,författare,1900-tal,Tammerfors,11130,1,1,19
Carl David Skogman,CDS,man,översättare,1800-tal,Lovisa,11057,1,1,18
Oskar Silén,OS,man,skådespelare,2000-tal,Helsingfors,10978,1,1,20
Leif Rantala,LR,man,lingvist,1900-tal,Liljendal,10754,1,1,19
Harry Järv,HJ,man,filosof,1900-tal,Karperö,10655,1,1,19
Mark Levengood,ML,man,journalist,1900-tal,Marine Corps Base Camp Lejeune,10504,1,1,19
Bo Carpelan,BC,man,barnboksförfattare,1900-tal,Helsingfors,10478,1,1,19
Helena Westermarck,HW,kvinna,målare,1800-tal,Helsingfors,10336,1,2,18
John Vikström,JV,man,präst,1900-tal,Kronoby,10229,1,1,19
Jac Ahrenberg,JA,man,konstkritiker,1800-tal,Viborg,10214,1,1,18
