hier1,hier2,hier3,dirs,files,bytes
mariadb,PatrikB,Sting,1,4,1888136724
fredrika,Sandra,-,1,1,141002012
furuvik,Karcher,-,1,1,131364455
paddla,Wattkast,jocke,1,26,2237944661
dagbok,Monty-Tesla,-,1,1,81784161
fredrika,Birger,Carlstedt,1,12,856363327
fest,Svenska_Dagen,-,1,7,479005508
alveskar,dronare,08-01_Dronare_making_of,1,23,1340965812
fest,Midsommar,MOV,1,19,988067782
munchen,Medi-Musik_LMU,-,1,3,134076837
paddla,Wattkast,-,1,1,35606120
alveskar,rita,08-16_Lantmateri,1,7,222413246
alveskar,dronare,08-01_Dronare,3,47,1120852926
fredrika,Julkalender,12-27,1,24,561276859
resa,Budapest,04-20_6D,1,23,524604481
selma,med_Dups,duPsone,1,11,236972339
resa,Budapest,04-21_6D,1,88,1881674612
paddla,Styrsholmarna,duPsone,1,5,101944402
munchen,Detta_om_detta,-,1,12,243287879
paddla,Wattkast,-,1,3,60342563
yoga,Egypten_Ki,12-27,1,31,601964383
alveskar,besok,06-20_av_Fia,1,80,1494461735
mariadb,Fia,04_Villa_Monty,1,148,2667036773
selma,Sjogang,-,1,1,17904821
alveskar,uddbastun,11-04_Sjogang,1,1,17620200
fredrika,Julfest_Fia,12-10,1,28,491511920
fest,Haloween,-,1,29,478518468
alveskar,besok,07-27_Solnedgang_MOV,1,7,112632820
alveskar,besok,06-22_Midsommar_MOV,1,26,413249984
springa,Shanghai,-,1,23,364606297
dagbok,Chi_Thu,-,1,4,62426545
mariadb,Kina,03-19_Shenzhen,1,5,77906900
fest,Valborg,-,1,21,306693109
nagu,Boskar_dronare,-,1,10,143659282
nagu,Brunskar_Fia,-,1,28,398239043
mariadb,FOSDEM,fia-final,1,3,41507101
portratt,Kaj_Bryssel,-,1,3,41507101
alveskar,smr,04-30_SMR,1,60,789533380
alveskar,vaststugan,10-13_Ute,1,14,183732041
nagu,Vattenskoter,06-21,1,67,873291654
nagu,Lokholm,-,1,8,103210080
alveskar,uddbastun,10-12_Terrass,1,4,50812920
mariadb,Indonesier,07-28,1,47,593668093
selma,av_Fia,-,1,25,314449737
mariadb,Fia,04_Fia_Dev_Mtg,1,137,1718374397
nagu,Prostvik,-,1,9,112499921
dagbok,En_procent,-,1,1,12469287
idrott,Kitzbuhel,10-20,1,25,307019805
mariadb,FOSDEM,fia-stimmung,1,153,1864386073
mariadb,Fia_Grani,03-12,1,42,505380517
alveskar,smr,05-27_SMR,1,53,600663601
nagu,Korpostrom,-,1,5,55662086
alveskar,uddbastun,07-28_Uddbastun,1,11,118920545
alveskar,vaststugan,05-27_Vaststugan,1,19,202310979
alveskar,besok,08-13_Marten_Alveskar,2,59,599720356
alveskar,uddbastun,09-22_fran_taket,1,16,162302110
dagbok,Lindgrens,-,1,5,50356895
resa,Egypten,12-31_Nyarsafton,1,23,230794642
nagu,av_Siv,06-22,1,83,814788319
alveskar,uddbastun,05-27_Uddbastun,1,17,166672124
idrott,Alveskar_Dups,duPsone_MOV,1,12,117228973
alveskar,vaststugan,10-12_Utsikt,1,2,18972665
